,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,source
340,Gentoo,Biscoe,56.76048278808594,17.160024642944336,230.99893188476562,5320.732421875,MALE,fake
341,Adelie,Dream,43.37067413330078,19.969392776489258,201.97506713867188,4382.67529296875,MALE,fake
342,Adelie,Biscoe,42.7463493347168,18.532575607299805,183.6107635498047,3799.50390625,MALE,fake
343,Gentoo,Biscoe,45.12806701660156,13.921120643615723,212.87631225585938,4476.4873046875,FEMALE,fake
344,Chinstrap,Dream,53.30434036254883,19.49861717224121,202.44020080566406,4478.947265625,MALE,fake
345,Gentoo,Biscoe,49.099308013916016,15.98197078704834,220.8870086669922,5594.111328125,MALE,fake
346,Chinstrap,Dream,45.48973083496094,16.9233455657959,188.24273681640625,3638.199462890625,FEMALE,fake
347,Adelie,Dream,37.40838623046875,17.315366744995117,195.4072723388672,3653.146728515625,FEMALE,fake
348,Gentoo,Biscoe,48.12974548339844,16.145626068115234,224.28091430664062,5468.283203125,MALE,fake
349,Gentoo,Biscoe,48.35151672363281,15.900986671447754,223.92813110351562,5475.9326171875,MALE,fake
350,Gentoo,Biscoe,49.0855827331543,14.82913589477539,215.94427490234375,4665.4091796875,FEMALE,fake
351,Gentoo,Biscoe,47.13568878173828,16.610214233398438,222.5950927734375,5223.93408203125,MALE,fake
352,Adelie,Dream,38.606407165527344,17.335664749145508,189.96766662597656,3667.520751953125,FEMALE,fake
353,Adelie,Dream,39.388221740722656,17.786508560180664,190.84934997558594,3563.00390625,FEMALE,fake
354,Adelie,Biscoe,42.36427688598633,17.99905014038086,182.20884704589844,3702.92724609375,MALE,fake
355,Chinstrap,Dream,49.55876541137695,17.603904724121094,193.22509765625,3846.431396484375,FEMALE,fake
356,Gentoo,Biscoe,45.700138092041016,14.505655288696289,212.14572143554688,4601.24853515625,FEMALE,fake
357,Gentoo,Biscoe,45.51272964477539,14.234567642211914,217.93060302734375,4718.11376953125,FEMALE,fake
358,Gentoo,Biscoe,49.62541961669922,15.3618803024292,216.0135498046875,4613.8486328125,FEMALE,fake
359,Gentoo,Biscoe,47.3269157409668,16.003257751464844,222.76197814941406,5492.80322265625,MALE,fake
360,Gentoo,Biscoe,49.10952377319336,15.945096969604492,222.81822204589844,5679.16552734375,MALE,fake
361,Chinstrap,Dream,51.24495315551758,19.138944625854492,192.1521453857422,3584.9404296875,MALE,fake
362,Gentoo,Biscoe,43.935813903808594,14.070610046386719,210.42539978027344,4544.26953125,FEMALE,fake
363,Chinstrap,Dream,53.36257553100586,18.651063919067383,200.05331420898438,3996.400390625,MALE,fake
364,Adelie,Dream,42.122066497802734,19.126176834106445,198.97769165039062,3939.404541015625,MALE,fake
365,Chinstrap,Dream,46.09206008911133,16.84288215637207,189.1852569580078,3608.8251953125,FEMALE,fake
366,Adelie,Biscoe,42.280006408691406,19.240400314331055,191.9317626953125,4036.7783203125,MALE,fake
367,Adelie,Biscoe,46.66756057739258,20.177106857299805,192.1014862060547,4363.37109375,MALE,fake
368,Chinstrap,Dream,46.911808013916016,18.018795013427734,195.55970764160156,4002.9638671875,FEMALE,fake
369,Adelie,Dream,37.206417083740234,16.272411346435547,179.03553771972656,3041.37353515625,FEMALE,fake
370,Gentoo,Biscoe,47.16023254394531,15.7615327835083,223.58485412597656,5288.75634765625,MALE,fake
371,Gentoo,Biscoe,49.556087493896484,15.69344425201416,222.46241760253906,5697.048828125,MALE,fake
372,Adelie,Torgersen,42.58140563964844,18.759504318237305,189.52085876464844,3843.79638671875,MALE,fake
373,Chinstrap,Dream,50.61910629272461,18.5572566986084,186.54580688476562,3966.477783203125,FEMALE,fake
374,Adelie,Dream,37.273006439208984,17.472509384155273,193.53656005859375,3799.9365234375,FEMALE,fake
375,Gentoo,Biscoe,49.58107376098633,16.088512420654297,223.68344116210938,5766.4736328125,MALE,fake
376,Chinstrap,Dream,52.472171783447266,18.3322696685791,199.91317749023438,4420.380859375,MALE,fake
377,Gentoo,Biscoe,47.64311599731445,14.790936470031738,215.7095489501953,4727.03857421875,FEMALE,fake
378,Adelie,Dream,37.08353805541992,17.494142532348633,192.0085906982422,3576.175537109375,FEMALE,fake
379,Chinstrap,Dream,52.71841049194336,18.48518180847168,198.47479248046875,4370.52978515625,MALE,fake
380,Adelie,Biscoe,37.144283294677734,17.37976837158203,195.2845916748047,3895.078125,FEMALE,fake
381,Adelie,Biscoe,43.94158172607422,18.340482711791992,183.635009765625,3818.446044921875,MALE,fake
382,Chinstrap,Dream,53.21255111694336,19.222549438476562,198.37428283691406,4132.4013671875,MALE,fake
383,Adelie,Torgersen,44.71889114379883,18.65387725830078,205.79403686523438,3928.414306640625,MALE,fake
384,Adelie,Torgersen,42.97234344482422,18.740827560424805,192.47494506835938,3927.9658203125,MALE,fake
385,Chinstrap,Dream,50.16787338256836,17.05805015563965,197.5173797607422,3622.5673828125,FEMALE,fake
386,Adelie,Dream,37.63771438598633,18.359920501708984,187.6210174560547,3848.282470703125,FEMALE,fake
387,Chinstrap,Dream,48.44501495361328,17.031766891479492,192.61569213867188,3554.284423828125,FEMALE,fake
388,Gentoo,Biscoe,49.256309509277344,15.942173957824707,222.10659790039062,5661.48486328125,MALE,fake
389,Chinstrap,Dream,49.11101150512695,17.57156753540039,192.48489379882812,3878.36865234375,FEMALE,fake
390,Adelie,Torgersen,42.1424560546875,18.799535751342773,189.31015014648438,4477.86669921875,MALE,fake
391,Chinstrap,Dream,52.49212646484375,19.121631622314453,194.8832550048828,3574.535888671875,MALE,fake
392,Adelie,Dream,39.242156982421875,17.83993911743164,182.05079650878906,3293.154296875,FEMALE,fake
393,Adelie,Dream,40.499996185302734,18.411256790161133,187.6367950439453,3716.498046875,FEMALE,fake
394,Gentoo,Biscoe,44.37495803833008,14.28069019317627,215.91131591796875,4723.021484375,FEMALE,fake
395,Adelie,Biscoe,38.31095504760742,17.531845092773438,190.74478149414062,3610.36328125,FEMALE,fake
396,Gentoo,Biscoe,49.677391052246094,15.804969787597656,223.62648010253906,5686.97900390625,MALE,fake
397,Adelie,Biscoe,40.97354507446289,17.396915435791016,185.93753051757812,3187.161865234375,FEMALE,fake
398,Gentoo,Biscoe,44.60713577270508,14.24874210357666,215.50772094726562,4735.169921875,FEMALE,fake
399,Gentoo,Biscoe,45.80548858642578,14.570838928222656,211.08917236328125,4666.50634765625,FEMALE,fake
400,Chinstrap,Dream,52.28813552856445,18.71413230895996,195.94046020507812,3803.74365234375,MALE,fake
401,Gentoo,Biscoe,43.18254089355469,13.311635971069336,216.3520965576172,4190.38232421875,FEMALE,fake
402,Adelie,Torgersen,39.41790771484375,18.48623275756836,187.6005401611328,3859.704345703125,FEMALE,fake
403,Gentoo,Biscoe,48.09717559814453,15.902515411376953,220.2621307373047,5450.15625,MALE,fake
404,Gentoo,Biscoe,48.46211242675781,15.714325904846191,221.60755920410156,5546.60888671875,MALE,fake
405,Gentoo,Biscoe,53.90779495239258,16.5461368560791,230.90965270996094,5469.6953125,MALE,fake
406,Adelie,Dream,39.66836929321289,18.76396369934082,188.13180541992188,3736.427978515625,FEMALE,fake
407,Gentoo,Biscoe,46.19396209716797,14.22793960571289,212.17684936523438,4547.232421875,FEMALE,fake
408,Adelie,Dream,40.03923034667969,19.126853942871094,187.1483917236328,3607.740234375,FEMALE,fake
409,Adelie,Torgersen,39.10887145996094,16.948015213012695,186.9610595703125,3471.195068359375,FEMALE,fake
410,Gentoo,Biscoe,49.09238815307617,15.93043041229248,223.64622497558594,5452.10595703125,MALE,fake
411,Gentoo,Biscoe,45.37846755981445,14.518172264099121,213.43812561035156,4785.03173828125,FEMALE,fake
412,Gentoo,Biscoe,49.367374420166016,15.955967903137207,222.87022399902344,5706.46435546875,MALE,fake
413,Adelie,Torgersen,41.053749084472656,18.03232192993164,186.84793090820312,3726.154052734375,FEMALE,fake
414,Gentoo,Biscoe,51.4661750793457,16.354148864746094,229.92543029785156,5636.49609375,MALE,fake
415,Gentoo,Biscoe,43.38383102416992,13.535249710083008,212.44769287109375,4268.81396484375,FEMALE,fake
416,Gentoo,Biscoe,52.77425003051758,16.556793212890625,230.79759216308594,5411.85888671875,MALE,fake
417,Gentoo,Biscoe,49.13017654418945,15.851174354553223,221.1321258544922,5602.6845703125,MALE,fake
418,Chinstrap,Dream,51.426666259765625,17.91529655456543,196.07151794433594,3851.734619140625,FEMALE,fake
419,Adelie,Dream,41.87886047363281,19.04258918762207,185.8164825439453,4387.01953125,MALE,fake
420,Gentoo,Biscoe,54.84843444824219,16.84261131286621,230.9753875732422,5263.14306640625,MALE,fake
421,Adelie,Dream,36.857608795166016,16.766124725341797,192.7434844970703,3355.230712890625,FEMALE,fake
422,Gentoo,Biscoe,48.76232147216797,15.786138534545898,223.29608154296875,5194.3271484375,MALE,fake
423,Adelie,Biscoe,42.7148551940918,18.4067325592041,182.20004272460938,3856.556396484375,MALE,fake
424,Gentoo,Biscoe,45.74633026123047,14.565103530883789,210.79295349121094,4671.3310546875,FEMALE,fake
425,Gentoo,Biscoe,45.02078628540039,14.495450019836426,214.5702667236328,4814.3486328125,FEMALE,fake
426,Adelie,Torgersen,40.99806213378906,19.82724380493164,198.365478515625,4191.27978515625,MALE,fake
427,Chinstrap,Dream,54.25018310546875,20.66158676147461,206.1715087890625,4577.4130859375,MALE,fake
428,Gentoo,Biscoe,48.445186614990234,15.896905899047852,224.03289794921875,5315.8349609375,MALE,fake
429,Chinstrap,Dream,49.949520111083984,18.893970489501953,173.46014404296875,3913.800537109375,FEMALE,fake
430,Gentoo,Biscoe,48.57694625854492,16.036216735839844,223.1754913330078,5587.8505859375,MALE,fake
431,Adelie,Biscoe,39.64006423950195,16.960262298583984,186.71652221679688,3145.20263671875,FEMALE,fake
432,Adelie,Dream,43.141597747802734,19.069059371948242,203.2262420654297,4166.4169921875,MALE,fake
433,Adelie,Biscoe,42.854122161865234,18.082014083862305,183.11705017089844,4133.8369140625,MALE,fake
434,Gentoo,Biscoe,47.707550048828125,15.666720390319824,220.72711181640625,5116.5390625,MALE,fake
435,Gentoo,Biscoe,55.38010025024414,17.011301040649414,230.99046325683594,5331.63232421875,MALE,fake
436,Chinstrap,Dream,52.41986846923828,19.430362701416016,196.6391143798828,4143.3681640625,MALE,fake
437,Adelie,Torgersen,42.083770751953125,20.348718643188477,192.66482543945312,5031.88330078125,MALE,fake
438,Adelie,Torgersen,41.62592697143555,17.347618103027344,182.26100158691406,3621.294677734375,FEMALE,fake
439,Gentoo,Biscoe,45.597755432128906,14.434335708618164,212.9217071533203,4711.60400390625,FEMALE,fake
440,Adelie,Dream,37.29899978637695,17.835912704467773,190.2833709716797,3543.11279296875,FEMALE,fake
441,Adelie,Torgersen,41.66746139526367,17.570863723754883,186.01670837402344,3662.9189453125,FEMALE,fake
442,Gentoo,Biscoe,45.8014030456543,14.289569854736328,211.80767822265625,4546.01171875,FEMALE,fake
443,Adelie,Dream,39.604000091552734,18.619211196899414,188.46597290039062,3524.267822265625,FEMALE,fake
444,Adelie,Dream,41.931819915771484,18.95285415649414,194.94940185546875,3979.009765625,MALE,fake
445,Chinstrap,Dream,48.11553192138672,17.891826629638672,190.2290802001953,3909.763916015625,FEMALE,fake
446,Gentoo,Biscoe,48.54692840576172,14.842209815979004,214.66758728027344,4579.81005859375,FEMALE,fake
447,Gentoo,Biscoe,45.079689025878906,13.648754119873047,211.55661010742188,4268.38134765625,FEMALE,fake
448,Adelie,Dream,45.51903533935547,19.98300552368164,198.8544921875,4555.314453125,MALE,fake
449,Adelie,Torgersen,43.58662796020508,18.82778549194336,202.22265625,4000.26806640625,MALE,fake
450,Chinstrap,Dream,49.15290832519531,17.571420669555664,193.6713104248047,3802.3955078125,FEMALE,fake
451,Gentoo,Biscoe,45.67616271972656,14.472493171691895,212.15377807617188,4679.453125,FEMALE,fake
452,Adelie,Torgersen,41.37803268432617,19.183242797851562,190.3929443359375,3917.0732421875,FEMALE,fake
453,Adelie,Torgersen,36.188716888427734,17.063777923583984,188.31663513183594,3868.5205078125,FEMALE,fake
454,Adelie,Torgersen,36.55790710449219,17.02939224243164,191.00953674316406,3572.613037109375,FEMALE,fake
455,Adelie,Biscoe,42.49116134643555,18.407930374145508,182.13592529296875,4031.326171875,MALE,fake
456,Gentoo,Biscoe,44.104454040527344,13.73373794555664,209.2764129638672,4342.91845703125,FEMALE,fake
457,Adelie,Biscoe,40.160362243652344,17.796606063842773,184.0256805419922,3128.940673828125,FEMALE,fake
458,Adelie,Torgersen,40.3702507019043,19.793874740600586,195.03970336914062,4059.7529296875,MALE,fake
459,Gentoo,Biscoe,51.272403717041016,16.29741668701172,229.8687744140625,5455.4228515625,MALE,fake
460,Adelie,Dream,43.42424011230469,19.149599075317383,195.54066467285156,4714.14453125,MALE,fake
461,Chinstrap,Dream,53.07963562011719,18.70535659790039,198.2426300048828,4041.56982421875,MALE,fake
462,Gentoo,Biscoe,46.24250411987305,14.539436340332031,212.0224609375,4682.7333984375,FEMALE,fake
463,Adelie,Torgersen,37.35966110229492,17.026254653930664,191.2860870361328,3640.75244140625,FEMALE,fake
464,Chinstrap,Dream,49.860130310058594,18.38762092590332,199.18748474121094,4003.2333984375,FEMALE,fake
465,Chinstrap,Dream,52.928775787353516,19.71144676208496,194.19801330566406,3601.4990234375,MALE,fake
466,Adelie,Torgersen,44.1806755065918,18.242816925048828,203.92813110351562,3866.506103515625,MALE,fake
467,Gentoo,Biscoe,46.45965576171875,15.386271476745605,220.5712890625,5209.27490234375,MALE,fake
468,Adelie,Biscoe,37.598636627197266,17.53769302368164,193.03024291992188,3840.828369140625,FEMALE,fake
469,Adelie,Biscoe,43.51610565185547,18.507118225097656,188.40126037597656,4298.2294921875,MALE,fake
470,Gentoo,Biscoe,49.019283294677734,16.062437057495117,223.1706085205078,5333.79443359375,MALE,fake
471,Gentoo,Biscoe,47.82217788696289,14.595197677612305,214.23941040039062,4568.14453125,FEMALE,fake
472,Adelie,Dream,43.03166580200195,19.225818634033203,183.22035217285156,3927.02099609375,MALE,fake
473,Gentoo,Biscoe,44.9384765625,13.664644241333008,209.88177490234375,4328.765625,FEMALE,fake
474,Adelie,Torgersen,45.80812454223633,18.95362663269043,200.9261932373047,4417.9013671875,MALE,fake
475,Gentoo,Biscoe,48.96277618408203,15.982857704162598,223.8438720703125,5715.3876953125,MALE,fake
476,Chinstrap,Dream,53.216026306152344,19.919475555419922,205.44317626953125,4619.6640625,MALE,fake
477,Chinstrap,Dream,54.120567321777344,20.868764877319336,205.2700958251953,4615.03955078125,MALE,fake
478,Adelie,Torgersen,39.761959075927734,16.9467830657959,187.31594848632812,3358.71728515625,FEMALE,fake
479,Gentoo,Biscoe,49.5916633605957,16.033735275268555,222.2350616455078,5702.89111328125,MALE,fake
480,Gentoo,Biscoe,44.29358673095703,14.008983612060547,210.35400390625,4517.56689453125,FEMALE,fake
481,Adelie,Torgersen,42.235145568847656,18.858463287353516,193.44935607910156,3915.4697265625,MALE,fake
482,Chinstrap,Dream,42.973358154296875,17.11836051940918,183.86216735839844,3483.237548828125,FEMALE,fake
483,Gentoo,Biscoe,43.65153503417969,13.651049613952637,210.5067596435547,4315.92919921875,FEMALE,fake
484,Gentoo,Biscoe,48.850528717041016,15.972634315490723,220.82997131347656,5564.466796875,MALE,fake
485,Adelie,Dream,37.17121887207031,17.626012802124023,198.62596130371094,3720.323486328125,FEMALE,fake
486,Gentoo,Biscoe,46.46297836303711,14.585345268249512,213.16856384277344,4711.390625,FEMALE,fake
487,Chinstrap,Dream,52.44873809814453,18.602142333984375,196.1627655029297,3593.479248046875,MALE,fake
488,Chinstrap,Dream,52.612213134765625,18.238994598388672,198.11744689941406,3952.90576171875,MALE,fake
489,Gentoo,Biscoe,46.53551483154297,14.44457721710205,212.70077514648438,4623.12841796875,FEMALE,fake
490,Adelie,Torgersen,45.691436767578125,19.373802185058594,183.81040954589844,3839.219970703125,FEMALE,fake
491,Adelie,Torgersen,44.256229400634766,18.255311965942383,200.1807403564453,4436.76318359375,MALE,fake
492,Adelie,Biscoe,44.18464660644531,17.958721160888672,184.5202178955078,3815.7724609375,MALE,fake
493,Gentoo,Biscoe,45.76435470581055,14.500181198120117,211.9611358642578,4706.1103515625,FEMALE,fake
494,Adelie,Torgersen,41.59762191772461,18.797195434570312,186.34271240234375,4140.7197265625,MALE,fake
495,Gentoo,Biscoe,48.86808395385742,16.070920944213867,223.5161895751953,5693.6328125,MALE,fake
496,Chinstrap,Dream,52.61623001098633,19.178117752075195,195.39822387695312,3770.028076171875,MALE,fake
497,Adelie,Torgersen,42.45883560180664,17.26321029663086,183.47740173339844,3457.385498046875,FEMALE,fake
498,Adelie,Biscoe,40.812801361083984,17.285633087158203,187.97979736328125,3152.9345703125,FEMALE,fake
499,Gentoo,Biscoe,50.00405502319336,15.100478172302246,215.5208282470703,4445.4755859375,FEMALE,fake
500,Adelie,Dream,37.563934326171875,17.267627716064453,191.4380340576172,3574.46728515625,FEMALE,fake
501,Chinstrap,Dream,51.207515716552734,17.80132484436035,192.54258728027344,3884.57080078125,FEMALE,fake
502,Adelie,Biscoe,39.43360900878906,18.252700805664062,187.24298095703125,3260.264892578125,FEMALE,fake
503,Adelie,Dream,43.590797424316406,18.936382293701172,184.9488067626953,3544.649169921875,MALE,fake
504,Adelie,Biscoe,38.30065155029297,16.868024826049805,179.18487548828125,3378.000732421875,FEMALE,fake
505,Adelie,Dream,37.67798614501953,17.11153221130371,189.89065551757812,3417.279052734375,FEMALE,fake
506,Gentoo,Biscoe,43.49981689453125,13.646932601928711,210.444091796875,4320.9775390625,FEMALE,fake
507,Gentoo,Biscoe,43.93675231933594,13.374032974243164,215.4816131591797,4197.50634765625,FEMALE,fake
508,Chinstrap,Dream,52.733036041259766,19.886459350585938,210.28823852539062,4791.287109375,MALE,fake
509,Adelie,Dream,41.3896484375,19.16330337524414,187.98829650878906,3665.1025390625,FEMALE,fake
510,Adelie,Torgersen,40.481998443603516,20.001712799072266,194.48329162597656,4333.1904296875,MALE,fake
511,Gentoo,Biscoe,51.821571350097656,16.282678604125977,230.12197875976562,5636.79296875,MALE,fake
